"","from_id","from_name","message","created_time","type","link","id","story","likes_count","comments_count","shares_count"
"30","177526890164","Narendra Modi","Inaugurated the Patanjali Research Institute in Haridwar. I congratulate Baba Ramdev & his team on this momentous occasion.","2017-05-03T16:49:48+0000","photo","https://www.facebook.com/narendramodi/photos/a.10150164299700165.421791.177526890164/10158704117340165/?type=3","177526890164_10158704117340165",NA,201569,1915,5821
"31","177526890164","Narendra Modi","With a young friend in Kedarnath. :)","2017-05-03T08:22:01+0000","photo","https://www.facebook.com/narendramodi/photos/a.10150164299700165.421791.177526890164/10158702431290165/?type=3","177526890164_10158702431290165",NA,438360,3564,11997
"32","177526890164","Narendra Modi","<U+092C><U+093E><U+092C><U+093E> <U+0915><U+0947><U+0926><U+093E><U+0930><U+0928><U+093E><U+0925> <U+0915><U+0947> <U+0926><U+0930><U+094D><U+0936><U+0928> <U+0915><U+093E> <U+0938><U+094C><U+092D><U+093E><U+0917><U+094D><U+092F> <U+092A><U+094D><U+0930><U+093E><U+092A><U+094D><U+0924> <U+0939><U+0941><U+0906><U+0964> <U+0939><U+0930> <U+0939><U+0930> <U+092E><U+0939><U+093E><U+0926><U+0947><U+0935>!","2017-05-03T06:17:08+0000","photo","https://www.facebook.com/narendramodi/photos/a.10150164299700165.421791.177526890164/10158702185800165/?type=3","177526890164_10158702185800165",NA,475829,10182,28052
"33","177526890164","Narendra Modi","Happy 69th Independence Day to the people & Government of Israel. Shalom.","2017-05-02T13:23:03+0000","photo","https://www.facebook.com/narendramodi/photos/a.10150164299700165.421791.177526890164/10158698489470165/?type=3","177526890164_10158698489470165",NA,97453,1880,2422
"34","177526890164","Narendra Modi","Delighted to release a stamp on Sant Shri Ramanujacharya at a time when we mark his 1000th birth anniversary. 

Sant Shri Ramanujacharya was a millennial sage. His thoughts were always ahead of time & his concern towards the poor was very inspiring. At the core of Sant Shri Ramanujacharya’s message was the need for an inclusive society, religion and philosophy. 
http://nm-4.com/4ws4","2017-05-01T18:22:22+0000","photo","https://www.facebook.com/narendramodi/photos/a.10150164299700165.421791.177526890164/10158695175765165/?type=3","177526890164_10158695175765165",NA,40897,1062,937
"35","177526890164","Narendra Modi","During our talks President Recep Tayyip Erdogan & I discussed the full range of India-Turkey ties & ways to enhance them. 
http://nm-4.com/40s4","2017-05-01T13:15:58+0000","photo","https://www.facebook.com/narendramodi/photos/a.10150164299700165.421791.177526890164/10158693900040165/?type=3","177526890164_10158693900040165",NA,100703,1481,1442
"36","177526890164","Narendra Modi","President Recep Tayyip Erdogan & I interacted with business leaders & addressed a business summit in Delhi.

India & Turkey share good economic ties but there is immense scope to further deepen our business relations for the benefit of our people. Tie-ups through more trade, FDI & in areas such as technology, MSMEs, energy can give a strong impetus to bilateral relations. http://nm-4.com/4ws4","2017-05-01T07:18:03+0000","photo","https://www.facebook.com/narendramodi/photos/a.10150164299700165.421791.177526890164/10158693065555165/?type=3","177526890164_10158693065555165",NA,45777,812,1103
"37","177526890164","Narendra Modi","India is delighted to welcome President Recep Tayyip Erdogan of Turkey. Will hold talks with him & also address a business summit.","2017-05-01T04:48:27+0000","photo","https://www.facebook.com/narendramodi/photos/a.10150164299700165.421791.177526890164/10158692638140165/?type=3","177526890164_10158692638140165",NA,113232,1086,2752
"38","177526890164","Narendra Modi","Delighted to connect once again through #MannKiBaat. Hear the April 2017 episode.","2017-04-30T05:30:05+0000","video","https://www.facebook.com/narendramodi/videos/10158687659145165/","177526890164_10158687659145165","Narendra Modi was live.",81386,18335,6499
"39","177526890164","Narendra Modi","Bhagwan Basaveshwara’s rich contribution towards social equality & emphasis on education & women empowerment are very much relevant today.

Focus on ‘Sabka Saath, Sabka Vikas’ is guided by the rich ideals of Bhagwan Basaveshwara & his dream of a prosperous & inclusive society.","2017-04-29T09:10:13+0000","photo","https://www.facebook.com/narendramodi/photos/a.10150164299700165.421791.177526890164/10158683852870165/?type=3","177526890164_10158683852870165",NA,93863,1122,3930
"40","177526890164","Narendra Modi","Delighted to have joined a programme to celebrate Basava Jayanthi.  Dedicated to the nation 23 volumes of Holy 'Vachanas' in 23 languages. This would further spread the rich thoughts of Bhagwan Basaveshwara.","2017-04-29T09:09:12+0000","photo","https://www.facebook.com/narendramodi/photos/a.10150164299700165.421791.177526890164/10158683850980165/?type=3","177526890164_10158683850980165",NA,40312,485,1679
"41","177526890164","Narendra Modi","Held extensive discussions on ways to deepen India’s ties with Cyprus during my meeting with President <U+039D><U+03AF><U+03BA><U+03BF><U+03C2> <U+0391><U+03BD>astas<U+03B9><U+03AC>d<U+03B7><U+03C2> (Nicos Anastasiades).","2017-04-28T13:56:30+0000","photo","https://www.facebook.com/narendramodi/photos/a.10150164299700165.421791.177526890164/10158680103905165/?type=3","177526890164_10158680103905165",NA,89068,929,1823
